Nombre,Fecha,Profesor/a
Gestión Financiera - UT1,21 de octubre de 2025 19:00 (CEST) → 20:40,María Isabel Andrés
Sostenibilidad aplicada al sector productivo - UT1 y 2,26 de noviembre de 2025 18:10 (CET) → 19:00,María Isabel Andrés
Recursos Humanos y RSC,22 de mayo de 2026 16:00 (CEST),Alberto San José Gallegos
Exámenes 1ª Final,25 de mayo de 2026 → 29 de mayo de 2026,
Exámenes 2º Parcial,20 de abril de 2026 → 30 de abril de 2026,
Recursos Humanos y RSC,10 de abril de 2026 15:15 (CEST),Alberto San José
Recursos Humanos y RSC,5 de diciembre de 2025 15:15 (CET),Alberto San José
Itinerario personal para la empleabilidad II,20 de noviembre de 2025 18:10 (CET),Alberto San José
Itinerario personal para la empleabilidad II,16 de enero de 2026 16:55 (CET),Alberto San José
Itinerario personal para la empleabilidad II,16 de abril de 2026 18:10 (CEST),Alberto San José
Itinerario personal para la empleabilidad II,14 de mayo de 2026 18:10 (CEST),Alberto San José
Itinerario personal para la empleabilidad II,4 de junio de 2026 18:10 (CEST),Alberto San José
Exámenes 2ª Final,8 de junio de 2026 → 12 de junio de 2026,
Exámenes 1er PARCIAL,1 de diciembre de 2025 → 12 de diciembre de 2025,
Ofimática y Proceso de la Información (Grupo A),16 de octubre de 2025 15:15 (CEST),Reyes Orive
Ofimática y Proceso de la Información (Grupo B),15 de octubre de 2025 15:15 (CEST),Reyes Orive
Ofimática y Proceso de la Información (Grupos A y B),5 de noviembre de 2025 15:15 (CET),Reyes Orive
Ofimática y Proceso de la Información (Grupos A y B),19 de noviembre de 2025 15:15 (CET),Reyes Orive
Ofimática y Proceso de la Información,8 de enero de 2026 15:15 (CET),Reyes Orive
Ofimática y Proceso de la Información,28 de enero de 2026 15:15 (CET),Reyes Orive
Ofimática y Proceso de la Información,11 de febrero de 2026 15:15 (CET),Reyes Orive
Ofimática y Proceso de la Información,8 de abril de 2026 15:15 (CEST),Reyes Orive
Gestión Financiera - UT1,18 de noviembre de 2025 19:00 (CET) → 19:00,María Isabel Andrés
Gestión Financiera - UT3,27 de enero de 2026 19:00 (CET) → 20:40,María Isabel Andrés
Gestión Financiera - UT3,24 de febrero de 2026 19:00 (CET) → 20:40,María Isabel Andrés
Gestión Financiera - UT5,24 de marzo de 2026 19:00 (CET) → 20:40,María Isabel Andrés
"Sostenibilidad aplicada al sector productivo - UT3, 4 y 5",18 de marzo de 2026 18:10 (CET) → 19:00,María Isabel Andrés
Gestión logística y comercial - UT1,28 de octubre de 2025 18:10 (CET) → 19:50,Cristina Casado
Gestión logística y comercial - UT2,25 de noviembre de 2025 18:10 (CET) → 19:50,Cristina Casado
Gestión logística y comercial - UT3,3 de febrero de 2026 18:10 (CET) → 19:50,Cristina Casado
Gestión logística y comercial - UT4,10 de marzo de 2026 18:10 (CET) → 19:50,Cristina Casado
Gestión logística y comercial - UT5,21 de abril de 2026 18:10 (CEST) → 19:50,Cristina Casado
Ciudadanía e identidad digital I - UT1 y 2,13 de noviembre de 2025 18:10 (CET),Ángela Cifuentes
Ciudadanía e identidad digital I - UT2 y 3,19 de marzo de 2026 18:10 (CET),Ángela Cifuentes
Ciudadanía e identidad digital II - UT 1 y 2,13 de noviembre de 2025 19:00 (CET),Ángela Cifuentes
Ciudadanía e identidad digital II - UT2 y 3,19 de marzo de 2026 19:00 (CET),Ángela Cifuentes
Comunicación y atención al cliente - UT1,28 de octubre de 2025 18:10 (CET) → 19:00,Estrella San José
Comunicación y atención al cliente - UT2,11 de noviembre de 2025 18:10 (CET) → 19:00,Estrella San José
Comunicación y atención al cliente - UT3,25 de noviembre de 2025 18:10 (CET) → 19:00,Estrella San José
"Digitalización aplicada a los sectores productivos - UT1, 2 y 3",14 de octubre de 2025 16:55 (CEST) → 18:10,Estrella San José
"Digitalización aplicada a los sectores productivos - UT4, 5 y 6",27 de enero de 2026 16:55 (CET) → 18:10,Estrella San José
Itinerario Personal para la empleabilidad I - UT3 y 4,16 de marzo de 2026 19:00 (CET) → 20:40,Carmen López-Romero
Itinerario Personal para la empleabilidad I - UT1 y 2,24 de noviembre de 2025 19:00 (CET) → 20:40,Carmen López-Romero
Recursos Humanos y RSC,21 de noviembre de 2025 15:15 (CET),Alberto San José Gallegos
Gestión de Recursos Humanos,22 de octubre de 2025 15:15 (CEST),Alberto San José Gallegos
Gestión de Recursos Humanos,19 de noviembre de 2025 15:15 (CET),Alberto San José Gallegos
Gestión de Recursos Humanos,14 de enero de 2026 15:15 (CET),Alberto San José Gallegos
Gestión de Recursos Humanos,15 de abril de 2026 15:15 (CEST),Alberto San José Gallegos
Contabilidad y Fiscalidad -UT 1 y 2-,7 de noviembre de 2025 15:15 (CET) → 16:55,Juan Carlos Martinez Sanzo
Contabilidad y Fiscalidad -UT 3-,28 de noviembre de 2025 15:15 (CET) → 16:55,Juan Carlos Martinez Sanzo
Contabilidad y Fiscalidad -UT 4-,20 de febrero de 2026 15:15 (CET) → 16:55,Juan Carlos Martínez Sanzo
Contabilidad y Fiscalidad -UT 5 y 6-,10 de abril de 2026 15:15 (CEST) → 16:55,Juan Carlos Martínez Sanzo
Contabilidad y Fiscalidad,15 de mayo de 2026 15:15 (CEST) → 16:55,Juan Carlos Martínez Sanzo
Simulación Empresarial -UT 1-,30 de octubre de 2025 16:05 (CET) → 17:45,Juan Carlos Martínez Sanzo
Simulación Empresarial -UT 2 y 3-,20 de noviembre de 2025 16:05 (CET) → 17:45,Juan Carlos Martínez Sanzo
Simulación Empresarial -UT 4-,15 de enero de 2026 16:05 (CET) → 16:55,Juan Carlos Martínez Sanzo
Simulación Empresarial -UT 5 y 6-,16 de abril de 2026 16:05 (CEST) → 17:45,Juan Carlos Martínez Sanzo
Itinerario Personal para la empleabilidad I - UT5,13 de abril de 2026 19:00 (CEST) → 20:40,Carmen López-Romero
Gest. Doc. Jurídica y Empr. Grupos A y B -UT 1-,14 de octubre de 2025 16:55 (CEST) → 19:00,Rosa María Guerra Pintor
Gest. Doc. Jurídica y Empr. Grupo B -UT 2-,3 de noviembre de 2025 16:55 (CET) → 19:00,Rosa María Guerra Pintor
Gest. Doc. Jurídica y Empr. Grupo A -UT 2-,4 de noviembre de 2025 16:55 (CET) → 19:00,Rosa María Guerra Pintor
Gest. Doc. Jurídica y Empr. Grupo A -UT 3-,27 de enero de 2026 16:55 (CET) → 19:00,Rosa María Guerra Pintor
Gest. Doc. Jurídica y Empr. Grupo B -UT 3-,26 de enero de 2026 16:55 (CET) → 19:00,Rosa María Guerra Pintor
Gest. Doc. Jurídica y Empr. Grupo A -UT 4-,10 de marzo de 2026 16:55 (CET) → 19:00,Rosa María Guerra Pintor
Gest. Doc. Jurídica y Empr. Grupo B -UT 4-,9 de marzo de 2026 16:55 (CET) → 19:00,Rosa María Guerra Pintor
Gest. Doc. Jurídica y Empr. Grupos A y B -UT 4-,13 de abril de 2026 16:55 (CEST) → 19:00,Rosa María Guerra Pintor
"Gest. Doc. Jurídica y Empr. Grupo A -UT 1, 2, 3 y 4-",12 de mayo de 2026 16:55 (CEST) → 19:00,Rosa María Guerra Pintor
"Gest. Doc. Jurídica y Empr. Grupo B -UT 1, 2, 3 y 4-",11 de mayo de 2026 16:55 (CEST) → 19:00,Rosa María Guerra Pintor
Proc. Integral Activ. Comercial (Grupo B) -UT 1-,21 de octubre de 2025 16:05 (CEST) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo B) -UT 2-,4 de noviembre de 2025 16:05 (CET) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo A) -UT 2-,5 de noviembre de 2025 16:05 (CET) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo A) -UT 3-,26 de noviembre de 2025 16:05 (CET) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo B) -UT 3-,25 de noviembre de 2025 16:05 (CET) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo A) -UT 4-,28 de enero de 2026 16:05 (CET) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo B) -UT 4-,27 de enero de 2026 16:05 (CET) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo B) -UT 5-,24 de febrero de 2026 16:05 (CET) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo A) -UT 5-,25 de febrero de 2026 16:05 (CET) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo A) -UT 6-,15 de abril de 2026 16:05 (CEST) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupo B) -UT 6-,14 de abril de 2026 16:05 (CEST) → 17:45,Inés Acebes González
Proc. Integral Activ. Comercial (Grupos A y B) -tutoría antes 1ª Final-,22 de mayo de 2026 18:10 (CEST) → 21:55,Inés Acebes González
Itinerario personal para la empleabilidad II,23 de octubre de 2025 18:10 (CEST) → 19:00,Alberto San José Gallegos
Inglés profesional - UT1 (Grupo A),20 de octubre de 2025 15:15 (CEST) → 15:15,"Cristina Lorenzo Rivas
"
Inglés profesional - UT2 (Grupo A),3 de noviembre de 2025 15:15 (CET) → 15:15,"Cristina Lorenzo Rivas
"
Inglés profesional - UT4 (Grupo A),17 de noviembre de 2025 15:15 (CET) → 15:15,"Cristina Lorenzo Rivas
"
Inglés profesional - UT3 (Grupo A),10 de noviembre de 2025 15:15 (CET) → 16:55,"Cristina Lorenzo Rivas
"
Inglés profesional - UT5 (Grupo A),12 de enero de 2026 15:15 (CET) → 15:15,"Cristina Lorenzo Rivas
"
Inglés profesional - UT6 (Grupo A),26 de enero de 2026 15:15 (CET) → 15:15,"Cristina Lorenzo Rivas
"
Inglés profesional - UT7 (Grupo A),23 de febrero de 2026 15:15 (CET) → 15:15,"Cristina Lorenzo Rivas
"
Inglés profesional - UT8 (Grupo A),2 de marzo de 2026 15:15 (CET) → 15:15,"Cristina Lorenzo Rivas
"
Inglés profesional - UT1 (Grupo B),22 de octubre de 2025 16:15 (CEST) → 19:00,"Cristina Lorenzo Rivas
"
Inglés profesional - UT2 (Grupo B),5 de noviembre de 2025 16:55 (CET) → 19:00,"Cristina Lorenzo Rivas
"
Inglés profesional - UT3 (Grupo B),19 de noviembre de 2025 16:55 (CET) → 19:00,"Cristina Lorenzo Rivas
"
Inglés profesional - UT4 (Grupo B),26 de noviembre de 2025 16:55 (CET) → 19:00,"Cristina Lorenzo Rivas
"
Inglés profesional - UT5 (Grupo B),14 de enero de 2026 16:55 (CET) → 19:00,"Cristina Lorenzo Rivas
"
Inglés profesional - UT6 (Grupo B),28 de enero de 2026 16:55 (CET) → 19:00,"Cristina Lorenzo Rivas
"
Inglés profesional - UT8 (Grupo B),4 de marzo de 2026 16:55 (CET) → 19:00,"Cristina Lorenzo Rivas
"
